bit_size,algorithm,k,sample,time_seconds
2048,binary_lr,,9,0.023886899929493666
2048,binary_rl,,9,0.024565399973653257
2048,kary,4,9,0.019540600012987852
2048,sliding,4,9,0.018765700049698353
2048,kary,6,9,0.018568600062280893
2048,sliding,6,9,0.017906200024299324
2048,kary,8,9,0.01943550002761185
2048,sliding,8,9,0.0181319999974221
4096,pow_builtin,,0,0.13200740003958344
4096,binary_lr,,0,0.17622560006566346
4096,binary_rl,,0,0.17536610004026443
4096,kary,4,0,0.14098150003701448
4096,sliding,4,0,0.1366524000186473
4096,kary,6,0,0.13347649993374944
4096,sliding,6,0,0.13010399998165667
4096,kary,8,0,0.1342313999775797
4096,sliding,8,0,0.12930169992614537
4096,pow_builtin,,1,0.1334995999932289
4096,binary_lr,,1,0.1755602000048384
4096,binary_rl,,1,0.1767511999933049
4096,kary,4,1,0.1426797000458464
4096,sliding,4,1,0.1375481999712065
4096,kary,6,1,0.13421889999881387
4096,sliding,6,1,0.13072130002547055
4096,kary,8,1,0.13547179999295622
4096,sliding,8,1,0.12926419998984784
4096,pow_builtin,,2,0.1306726000038907
4096,binary_lr,,2,0.17228899989277124
4096,binary_rl,,2,0.17323720001149923
4096,kary,4,2,0.14017340005375445
4096,sliding,4,2,0.13558310002554208
4096,kary,6,2,0.13228280004113913
4096,sliding,6,2,0.1287677000509575
4096,kary,8,2,0.13315220002550632
4096,sliding,8,2,0.1279916000785306
4096,pow_builtin,,3,0.13054449995979667
4096,binary_lr,,3,0.1729007000103593
4096,binary_rl,,3,0.17423839995171875
4096,kary,4,3,0.1398013000143692
4096,sliding,4,3,0.13570420001633465
4096,kary,6,3,0.13206560001708567
4096,sliding,6,3,0.1288260999135673
4096,kary,8,3,0.13263639993965626
4096,sliding,8,3,0.12747029995080084
4096,pow_builtin,,4,0.132304499973543
4096,binary_lr,,4,0.17414999997708946
4096,binary_rl,,4,0.17401499999687076
4096,kary,4,4,0.14101090002804995
4096,sliding,4,4,0.13686199998483062
4096,kary,6,4,0.1332082999870181
4096,sliding,6,4,0.1295322000514716
4096,kary,8,4,0.1339746000012383
4096,sliding,8,4,0.12834439997095615
4096,pow_builtin,,5,0.13287129998207092
4096,binary_lr,,5,0.1753187000285834
4096,binary_rl,,5,0.17543179995846003
4096,kary,4,5,0.14181039994582534
4096,sliding,4,5,0.1366645999951288
4096,kary,6,5,0.13342309999279678
4096,sliding,6,5,0.13005319994408637
4096,kary,8,5,0.1341071999631822
4096,sliding,8,5,0.12890280003193766
4096,pow_builtin,,6,0.1318274000659585
4096,binary_lr,,6,0.1720014000311494
4096,binary_rl,,6,0.1734420999418944
4096,kary,4,6,0.14092959999106824
4096,sliding,4,6,0.1363665999379009
4096,kary,6,6,0.13357970002107322
4096,sliding,6,6,0.13033529999665916
4096,kary,8,6,0.13458820001687855
4096,sliding,8,6,0.12948379991576076
4096,pow_builtin,,7,0.1331652000080794
4096,binary_lr,,7,0.17548119998537004
4096,binary_rl,,7,0.176446900004521
4096,kary,4,7,0.14079989993479103
4096,sliding,4,7,0.13648729992564768
4096,kary,6,7,0.13391550001688302
4096,sliding,6,7,0.130097100045532
4096,kary,8,7,0.13427579996641725
4096,sliding,8,7,0.12871560000348836
4096,pow_builtin,,8,0.13064119999762625
4096,binary_lr,,8,0.17199949990026653
4096,binary_rl,,8,0.17230480001308024
4096,kary,4,8,0.13922600005753338
4096,sliding,4,8,0.13524640002287924
4096,kary,6,8,0.13244850002229214
4096,sliding,6,8,0.12850919994525611
4096,kary,8,8,0.13312440004665405
4096,sliding,8,8,0.12795009999535978
4096,pow_builtin,,9,0.1314600999467075
4096,binary_lr,,9,0.17394729994703084
4096,binary_rl,,9,0.1748208999633789
4096,kary,4,9,0.1412379000103101
4096,sliding,4,9,0.13628700003027916
4096,kary,6,9,0.1332765999250114
4096,sliding,6,9,0.12993339996319264
4096,kary,8,9,0.1337000000057742
4096,sliding,8,9,0.128249799949117
